Repo Name,URL,Languages,Lang Used,,Laguage,Percentage,Count
kalchakra13/openai-cookbook,https://github.com/kalchakra13/openai-cookbook,"Jupyter Notebook: 48.6%,
Python: 23.8%,
TypeScript: 21.9%,
CSS: 5.0%,
JavaScript: 0.6%,
Shell: 0.1%",Multi-language,,,,
karl-sparks/sparks-ai,https://github.com/karl-sparks/sparks-ai,"Python: 94.7%,
Dockerfile: 5.3%",Multi-language,,,,
kozodoi/ragas,https://github.com/kozodoi/ragas,"Jupyter Notebook: 67.3%,
Python: 32.1%,
Makefile: 0.6%",Multi-language,,,,
krarrobo1/financial-advisor,https://github.com/krarrobo1/financial-advisor,"Jupyter Notebook: 94.5%,
Python: 5.5%,
Dockerfile: 0.1%",Multi-language,,,,
ilyamk/Discord-AI-Chatbot,https://github.com/ilyamk/Discord-AI-Chatbot,"HTML: 92.4%,
Python: 7.6%,
Dockerfile: 0.0%",Multi-language,,,,
gabrielcassimiro17/async-langchain,https://github.com/gabrielcassimiro17/async-langchain,"Python: 67.9%,
Jupyter Notebook: 32.1%",Multi-language,,,,
cheng-lf/Free-AUTO-GPT-with-NO-API,https://github.com/cheng-lf/Free-AUTO-GPT-with-NO-API,"Python: 50.8%,
Jupyter Notebook: 49.0%,
Dockerfile: 0.2%",Multi-language,,,,
fernandobh/gpt_mr_reviewer,https://github.com/fernandobh/gpt_mr_reviewer,Python: 100.0%,Python,,,,
austinmw/ragas,https://github.com/austinmw/ragas,"Python: 98.5%,
Makefile: 0.7%,
Jupyter Notebook: 0.7%,
Dockerfile: 0.0%",Multi-language,,,,
avkumar/codeinterpreter-api,https://github.com/avkumar/codeinterpreter-api,Python: 100.0%,Python,,,,
avogabos/ai_security_starterkit,https://github.com/avogabos/ai_security_starterkit,Python: 100.0%,Python,,,,
bleys/OSNAP,https://github.com/bleys/OSNAP,"Python: 99.5%,
Shell: 0.5%",Multi-language,,,,
bradleypallen/conceptual-engineering-using-llms,https://github.com/bradleypallen/conceptual-engineering-using-llms,"Jupyter Notebook: 99.8%,
Python: 0.2%",Multi-language,,,,
c2siorg/b0bot,https://github.com/c2siorg/b0bot,"Python: 66.0%,
HTML: 30.5%,
JavaScript: 3.3%,
Shell: 0.1%",Multi-language,,,,
ceferisbarov/ragas,https://github.com/ceferisbarov/ragas,"Jupyter Notebook: 66.4%,
Python: 33.0%,
Makefile: 0.6%,
Dockerfile: 0.1%",Multi-language,,,,
langchain-ai/langchain,https://github.com/langchain-ai/langchain,"Jupyter Notebook: 79.2%,
Python: 20.5%,
MDX: 0.1%,
Makefile: 0.1%,
Shell: 0.0%,
XSLT: 0.0%,
HTML: 0.0%,
Dockerfile: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
codingchild2424/gpt-4-vision-for-eval,https://github.com/codingchild2424/gpt-4-vision-for-eval,"Python: 99.5%,
Shell: 0.5%",Multi-language,,,,
coffree0123/gpt-voice-assistant,https://github.com/coffree0123/gpt-voice-assistant,"Python: 64.9%,
JavaScript: 29.6%,
CSS: 4.4%,
HTML: 1.1%",Multi-language,,,,
dblasko/cv-job-matcher,https://github.com/dblasko/cv-job-matcher,"Jupyter Notebook: 60.5%,
Python: 39.5%",Multi-language,,,,
dennisfelczy/OpenAI_Document_Analyzer,https://github.com/dennisfelczy/OpenAI_Document_Analyzer,Python: 100.0%,Python,,,,
despiegk/ai_playground,https://github.com/despiegk/ai_playground,"Python: 75.8%,
Shell: 18.6%,
V: 5.5%",Multi-language,,,,
docker/genai-stack,https://github.com/docker/genai-stack,"Python: 53.5%,
Svelte: 15.7%,
Shell: 13.7%,
JavaScript: 8.3%,
Dockerfile: 7.3%,
HTML: 0.7%,
CSS: 0.7%",Multi-language,,,,
drewgillson/googlepalm-minute-book-extraction,https://github.com/drewgillson/googlepalm-minute-book-extraction,"Python: 79.1%,
HCL: 20.9%",Multi-language,,,,
dyllanwli/arcgis-code-interpreter,https://github.com/dyllanwli/arcgis-code-interpreter,"JavaScript: 69.0%,
HTML: 18.0%,
Python: 11.2%,
TypeScript: 1.6%,
CSS: 0.3%,
Shell: 0.0%",Multi-language,,,,
